date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
2020:Q2,19078.0,12685.3,2926.1,1530.6,8250.8,2681.1,738.9,-261.4,3773.8,1493.9,2281.6,-549.4,1886.4,2435.9
2020:Q3,20558.9,13813.7,3123.8,1811.3,8912.8,2796.6,840.3,116.0,3709.6,1448.4,2262.3,-721.8,2115.8,2837.6
2020:Q4,20791.9,14001.4,3137.3,1823.6,9071.6,2875.4,899.6,89.4,3713.1,1449.9,2264.4,-807.1,2242.3,3049.4
2021:Q1,21082.1,14319.6,3218.6,1949.6,9191.4,2939.9,911.8,-10.3,3765.7,1509.2,2259.5,-859.7,2247.4,3107.1
2021:Q2,21440.9,14820.0,3336.3,2027.8,9497.9,3010.9,901.7,-120.8,3721.6,1475.6,2248.3,-904.3,2270.2,3174.4
2021:Q3,21617.8,14943.2,3342.6,1895.5,9734.6,2999.3,899.8,16.8,3693.9,1447.6,2247.6,-956.9,2268.6,3225.5
2021:Q4,21988.7,15086.9,3360.0,1924.3,9832.1,3022.1,905.8,207.9,3693.4,1459.7,2236.0,-984.6,2402.5,3387.1
2022:Q1,21932.7,15100.9,3334.4,1924.1,9871.0,3110.1,889.8,227.4,3665.5,1428.9,2237.3,-1106.8,2377.5,3484.4
2022:Q2,21967.0,15224.4,3335.0,1917.9,9998.8,3163.4,863.9,114.4,3652.4,1415.4,2237.0,-1093.0,2451.7,3544.7
2022:Q3,22125.6,15295.8,3310.1,1910.6,10101.3,3210.2,809.2,79.7,3667.8,1410.6,2256.3,-953.1,2538.9,3492.0
2022:Q4,22278.3,15326.2,3302.6,1887.3,10159.9,3266.0,762.1,160.6,3705.1,1441.6,2263.9,-944.5,2520.1,3464.6
2023:Q1,22439.6,15495.8,3317.3,1967.1,10240.0,3333.3,749.2,43.5,3742.9,1456.3,2287.0,-912.2,2543.5,3455.7
2023:Q2,22580.5,15553.7,3322.2,1967.5,10291.4,3421.8,756.9,17.0,3773.5,1456.1,2317.1,-928.1,2509.3,3437.4
2023:Q3,22841.0,15671.9,3349.4,1997.8,10353.8,3436.4,777.7,67.5,3821.2,1480.3,2340.9,-926.2,2536.7,3462.9
2023:Q4,23033.8,15789.7,3376.1,1998.9,10441.9,3483.0,780.6,61.9,3865.1,1492.8,2372.0,-934.1,2574.6,3508.8
